ASD Acronym,Designation,Title of Standard,Link
,ISO 23908:2011,Sharps injury protection  Requirements and test methods  Sharps protection features for single-use hypodermic needles introducers for catheters and needles used for blood sampling,https://www.iso.org/standard/50680.html
,ISO 23958-1:2022,Traditional Chinese medicine  Dermal needles for single use  Part 1: Tapping-type,https://www.iso.org/standard/77465.html
,ISO 23958-2:2022,Traditional Chinese medicine  Dermal needles for single use  Part 2: Roller-type,https://www.iso.org/standard/77471.html
,ISO 80369-3:2016 /Amd 1:2019,Small-bore connectors for liquids and gases in healthcare applications  Part 3: Connectors for enteral applications  Amendment 1,https://www.iso.org/standard/74038.html
,IEC 80369-5:2016 /Cor 2:2021,Small-bore connectors for liquids and gases in healthcare applications  Part 5: Connectors for limb cuff inflation applications  Technical Corrigendum 2,https://www.iso.org/standard/83067.html
,ISO 80369-6:2016,Small bore connectors for liquids and gases in healthcare applications  Part 6: Connectors for neuraxial applications,https://www.iso.org/standard/50734.html
,ISO 80369-7:2021,Small-bore connectors for liquids and gases in healthcare applications  Part 7: Connectors for intravascular or hypodermic applications,https://www.iso.org/standard/79173.html
,ISO 80369-20:2015,Small-bore connectors for liquids and gases in healthcare applications  Part 20: Common test methods,https://www.iso.org/standard/63837.html
,ISO 7151:2024,Surgical instruments  Non-cutting articulated instruments  General requirements and test methods,https://www.iso.org/standard/83673.html
,ISO 7153-1:2016,Surgical instruments  Materials  Part 1: Metals,https://www.iso.org/standard/66850.html
,ISO 7740:1985,Instruments for surgery  Scalpels with detachable blades  Fitting dimensions,https://www.iso.org/standard/14579.html
,ISO 7741:1986,Instruments for surgery  Scissors and shears  General requirements and test methods,https://www.iso.org/standard/14580.html
,ISO 10936-1:2017,Optics and photonics  Operation microscopes  Part 1: Requirements and test methods,https://www.iso.org/standard/69819.html
,ISO 10936-2:2010,Optics and photonics  Operation microscopes  Part 2: Light hazard from operation microscopes used in ocular surgery,https://www.iso.org/standard/44537.html
,ISO 11810-1:2005,Lasers and laser-related equipment  Test method and classification for the laser resistance of surgical drapes and/or patient protective covers  Part 1: Primary ignition and penetration,https://www.iso.org/standard/37587.html
,ISO 11810-2:2007,Lasers and laser-related equipment  Test method and classification for the laser-resistance of surgical drapes and/or patient-protective covers  Part 2: Secondary ignition,https://www.iso.org/standard/37588.html
,ISO 11810:2015,Lasers and laser-related equipment  Test method and classification for the laser resistance of surgical drapes and/or patient protective covers  Primary ignition penetration flame spread and secondary ignition,https://www.iso.org/standard/65248.html
,ISO 13402:1995,Surgical and dental hand instruments  Determination of resistance against autoclaving corrosion and thermal exposure,https://www.iso.org/standard/21241.html
,ISO 21535:2023,Non-active surgical implants  Joint replacement implants  Specific requirements for hip-joint replacement implants,https://www.iso.org/standard/77044.html
,ISO/TS 4549:2023,Orthotics  Method for testing the reliability of microprocessor-controlled ankle moment units of ankle-foot orthoses,https://www.iso.org/standard/80065.html
,ISO 5832-1:2024,Implants for surgery  Metallic materials  Part 1: Wrought stainless steel,https://www.iso.org/standard/83775.html
,ISO 5832-2:2018,Implants for surgery  Metallic materials  Part 2: Unalloyed titanium,https://www.iso.org/standard/69907.html
,ISO 5832-3:2021,Implants for surgery  Metallic materials  Part 3: Wrought titanium 6-aluminium 4-vanadium alloy,https://www.iso.org/standard/79626.html
,ISO 5832-4:2024,Implants for surgery  Metallic materials  Part 4: Cobalt-chromium-molybdenum casting alloy,https://www.iso.org/standard/82121.html
,ISO 5832-5:2022,Implants for surgery  Metallic materials  Part 5: Wrought cobalt-chromium-tungsten-nickel,https://www.iso.org/standard/79955.html
,ISO 5832-6:2022,Implants for surgery  Metallic materials  Part 6: Wrought cobalt-nickel-chromium-molybdenum alloy,https://www.iso.org/standard/79956.html
,ISO 5832-7:2024,Implants for surgery  Metallic materials  Part 7: Forgeable and cold-formed cobalt-chromium-nickel-molybdenum-iron alloy,https://www.iso.org/standard/83776.html
,ISO 5832-8:1997,Implants for surgery  Metallic materials  Part 8: Wrought cobalt-nickel-chromium-molybdenum- tungsten-iron alloy,https://www.iso.org/standard/21972.html
,ISO 5832-9:2019,Implants for surgery  Metallic materials  Part 9: Wrought high nitrogen stainless steel,https://www.iso.org/standard/72593.html
,ISO 5832-10:1996,Implants for surgery  Metallic materials  Part 10: Wrought titanium 5-aluminium 25-iron alloy,https://www.iso.org/standard/23051.html
,ISO 5832-11:2024,Implants for surgery  Metallic materials  Part 11: Wrought titanium 6-aluminium 7-niobium alloy,https://www.iso.org/standard/82122.html
,ISO 5832-12:2019,Implants for surgery  Metallic materials  Part 12: Wrought cobalt-chromium-molybdenum alloy,https://www.iso.org/standard/72594.html
,ISO 5832-14:2019,Implants for surgery  Metallic materials  Part 14: Wrought titanium 15-molybdenum 5-zirconium 3-aluminium alloy,https://www.iso.org/standard/72595.html
,ISO 5833-1:1979,Implants for surgery  Acrylic resin cements  Part 1: Orthopaedic applications,https://www.iso.org/standard/11994.html
,ISO 5833:2002,Implants for surgery  Acrylic resin cements,https://www.iso.org/standard/30980.html
,ISO 5834-1:2019,Implants for surgery  Ultra-high-molecular-weight polyethylene  Part 1: Powder form,https://www.iso.org/standard/73674.html
,ISO 5834-2:2019,Implants for surgery  Ultra-high-molecular-weight polyethylene  Part 2: Moulded forms,https://www.iso.org/standard/73675.html
,ISO 5834-3:2019,Implants for surgery  Ultra-high-molecular-weight polyethylene  Part 3: Accelerated ageing methods,https://www.iso.org/standard/73676.html
,ISO 5834-4:2019,Implants for surgery  Ultra-high-molecular-weight polyethylene  Part 4: Oxidation index measurement method,https://www.iso.org/standard/73677.html
,ISO 5834-5:2019,Implants for surgery  Ultra-high-molecular-weight polyethylene  Part 5: Morphology assessment method,https://www.iso.org/standard/73678.html
,ISO 5835-1:1985,Implants for surgery  Metal bone screws  Dimensions  Part 1: Screws with asymmetrical thread spherical under-surfaces,https://www.iso.org/standard/12002.html
,ISO 5835-2:1978,Implants for surgery  Metal bone screws  Dimensions  Part 2: Screws with asymmetrical thread constant fitting (spherical),https://www.iso.org/standard/12003.html
,ISO 5835-4:1983,Implants for surgery  Metal bone screws  Dimensions  Part 4: Screws with symmetrical thread conical under-surfaces,https://www.iso.org/standard/12005.html
,ISO 5835:1991,Implants for surgery  Metal bone screws with hexagonal drive connection spherical under-surface of head asymmetrical thread  Dimensions,https://www.iso.org/standard/12001.html
,ISO 5836-4:1984,Implants for surgery  Metal bone plates  Part 4: Holes and slots corresponding to screws with symmetrical thread and conical under-surfaces,https://www.iso.org/standard/12009.html
,ISO 5836:1988,Implants for surgery  Metal bone plates  Holes corresponding to screws with asymmetrical thread and spherical under-surface,https://www.iso.org/standard/12006.html
,ISO 5837-1:1985,Implants for surgery  Intramedullary nailing systems  Part 1: Intramedullary nails with cloverleaf or V-shaped cross-section,https://www.iso.org/standard/12012.html
,ISO 5837-2:1980,Implants for surgery  Intramedullary nailing systems  Part 2: Medullary pins,https://www.iso.org/standard/12013.html
,ISO 5838-1:2013,Implants for surgery  Metallic skeletal pins and wires  Part 1: General requirements,https://www.iso.org/standard/59183.html
,ISO 5838-2:1991,Implants for surgery  Skeletal pins and wires  Part 2: Steinmann skeletal pins  Dimensions,https://www.iso.org/standard/12015.html
,ISO 5838-3:1993,Implants for surgery  Skeletal pins and wires  Part 3: Kirschner skeletal wires,https://www.iso.org/standard/12016.html
,ISO 5839:1985,Implants for surgery  Orthopaedic joint prostheses  Basic requirements,https://www.iso.org/standard/12017.html
,ISO 5840-1:2021 /DAmd 1,Cardiovascular implants  Cardiac valve prostheses  Part 1: General requirements  Amendment 1,https://www.iso.org/standard/88490.html
,ISO 5840-2:2021 /DAmd 1,Cardiovascular implants  Cardiac valve prostheses  Part 2: Surgically implanted heart valve substitutes  Amendment 1,https://www.iso.org/standard/88491.html
,ISO 5840-3:2021 /DAmd 1,Cardiovascular implants  Cardiac valve prostheses  Part 3: Heart valve substitutes implanted by transcatheter techniques  Amendment 1,https://www.iso.org/standard/88492.html
,ISO 5840:2005,Cardiovascular implants  Cardiac valve prostheses,https://www.iso.org/standard/34164.html
,ISO 5841-1:1989,Cardiac pacemakers  Part 1: Implantable pacemakers,https://www.iso.org/standard/12021.html
,ISO 5841-2:2014,Implants for surgery  Cardiac pacemakers  Part 2: Reporting of clinical performance of populations of pulse generators or leads,https://www.iso.org/standard/60541.html
,ISO 5841-3:2013,Implants for surgery  Cardiac pacemakers  Part 3: Low-profile connectors (IS-1) for implantable pacemakers,https://www.iso.org/standard/60542.html
,ISO 5910:2024,Cardiovascular implants and extracorporeal systems  Cardiac valve repair devices,https://www.iso.org/standard/80224.html
,ISO 6018:1987,Orthopaedic implants  General requirements for marking packaging and labelling,https://www.iso.org/standard/12220.html
,ISO 6474-1:2019,Implants for surgery  Ceramic materials  Part 1: Ceramic materials based on high purity alumina,https://www.iso.org/standard/69906.html
,ISO 6474-2:2019,Implants for surgery  Ceramic materials  Part 2: Composite materials based on a high-purity alumina matrix with zirconia reinforcement,https://www.iso.org/standard/72592.html
,ISO 6474:1994,Implants for surgery  Ceramic materials based on high purity alumina,https://www.iso.org/standard/12837.html
,ISO 6475-1:1980,Implants for surgery  Metal bone screws  Mechanical requirements and methods of test  Part 1: Screws with asymmetrical thread variable fitting (spherical) stainless steel,https://www.iso.org/standard/12839.html
,ISO 6475-2:1980,Implants for surgery  Metal bone screws  Mechanical requirements and methods of test  Part 2: Screws with asymmetrical thread constant fitting (spherical) stainless steel,https://www.iso.org/standard/12840.html
,ISO 6475:1989,Implants for surgery  Metal bone screws with asymmetrical thread and spherical under-surface  Mechanical requirements and test methods,https://www.iso.org/standard/12838.html
,ISO 7197:2024,Neurosurgical implants  Sterile single-use hydrocephalus shunts,https://www.iso.org/standard/83698.html
,ISO 7198:2016,Cardiovascular implants and extracorporeal systems  Vascular prostheses  Tubular vascular grafts and vascular patches,https://www.iso.org/standard/50661.html
,ISO 7199:2024,Cardiovascular implants and artificial organs  Blood-gas exchangers (oxygenators),https://www.iso.org/standard/83184.html
,ISO 7206-1:2008,Implants for surgery  Partial and total hip joint prostheses  Part 1: Classification and designation of dimensions,https://www.iso.org/standard/42768.html
,ISO 7206-2:2011 /Amd 1:2016,Implants for surgery  Partial and total hip joint prostheses  Part 2: Articulating surfaces made of metallic ceramic and plastics materials  Amendment 1,https://www.iso.org/standard/67929.html
,ISO 7206-3:1988,Implants for surgery  Partial and total hip joint prostheses  Part 3: Determination of endurance properties of stemmed femoral components without application of torsion,https://www.iso.org/standard/13833.html
,ISO 7206-4:2010 /Amd 1:2016,Implants for surgery  Partial and total hip joint prostheses  Part 4: Determination of endurance properties and performance of stemmed femoral components  Amendment 1,https://www.iso.org/standard/69125.html
,ISO 7206-5:1992,Implants for surgery  Partial and total hip joint prostheses  Part 5: Determination of resistance to static load of head and neck region of stemmed femoral components,https://www.iso.org/standard/13835.html
,ISO 7206-6:2013,Implants for surgery  Partial and total hip joint prostheses  Part 6: Endurance properties testing and performance requirements of neck region of stemmed femoral components,https://www.iso.org/standard/51186.html
,ISO 7206-7:1993,Implants for surgery  Partial and total hip joint prostheses  Part 7: Endurance performance of stemmed femoral components without application of torsion,https://www.iso.org/standard/13837.html
,ISO 7206-8:1995,Implants for surgery  Partial and total hip joint prostheses  Part 8: Endurance performance of stemmed femoral components with application of torsion,https://www.iso.org/standard/21009.html
,ISO 7206-9:1994,Implants for surgery  Partial and total hip joint prostheses  Part 9: Determination of resistance to torque of head fixation of stemmed femoral components,https://www.iso.org/standard/21762.html
,ISO 7206-10:2018 /Amd 1:2021,Implants for surgery  Partial and total hip-joint prostheses  Part 10: Determination of resistance to static load of modular femoral heads  Amendment 1,https://www.iso.org/standard/79860.html
,ISO 7206-12:2016,Implants for surgery  Partial and total hip joint prostheses  Part 12: Deformation test method for acetabular shells,https://www.iso.org/standard/63710.html
,ISO 7206-13:2016 /Amd 1:2022,Implants for surgery  Partial and total hip joint prostheses  Part 13: Determination of resistance to torque of head fixation of stemmed femoral components  Amendment 1,https://www.iso.org/standard/83746.html
,ISO 7207-1:2007,Implants for surgery  Components for partial and total knee joint prostheses  Part 1: Classification definitions and designation of dimensions,https://www.iso.org/standard/39971.html
,ISO 7207-2:2011 /Amd 2:2020,Implants for surgery  Components for partial and total knee joint prostheses  Part 2: Articulating surfaces made of metal ceramic and plastics materials  Amendment 2,https://www.iso.org/standard/74552.html
,ISO 8319-1:1996,Orthopaedic instruments  Drive connections  Part 1: Keys for use with screws with hexagon socket heads,https://www.iso.org/standard/21773.html
,ISO 8319-2:1986,Orthopaedic instruments  Drive connections  Part 2: Screwdrivers for single slot head screws screws with cruciate slot and cross-recessed head screws,https://www.iso.org/standard/15443.html
,ISO 8548-1:1989,Prosthetics and orthotics  Limb deficiencies  Part 1: Method of describing limb deficiencies present at birth,https://www.iso.org/standard/15796.html
,ISO 8548-2:2020,Prosthetics and orthotics  Limb deficiencies  Part 2: Method of describing lower limb amputation stumps,https://www.iso.org/standard/76809.html
,ISO 8548-3:1993,Prosthetics and orthotics  Limb deficiencies  Part 3: Method of describing upper limb amputation stumps,https://www.iso.org/standard/15799.html
,ISO 8548-4:1998,Prosthetics and orthotics  Limb deficiencies  Part 4: Description of causal conditions leading to amputation,https://www.iso.org/standard/22327.html
,ISO 8548-5:2003,Prosthetics and orthotics  Limb deficiencies  Part 5: Description of the clinical condition of the person who has had an amputation,https://www.iso.org/standard/36652.html
,ISO 8549-1:2020,Prosthetics and orthotics  Vocabulary  Part 1: General terms for external limb prostheses and external orthoses,https://www.iso.org/standard/79495.html
,ISO 8549-2:2023,Prosthetics and orthotics  Vocabulary  Part 2: Terms relating to external limb prostheses,https://www.iso.org/standard/82792.html
,ISO 8549-3:2020,Prosthetics and orthotics  Vocabulary  Part 3: Terms relating to orthoses,https://www.iso.org/standard/79497.html
,ISO 8549-4:2020,Prosthetics and orthotics  Vocabulary  Part 4: Terms relating to limb amputation,https://www.iso.org/standard/81001.html
,ISO 8551:2020,Prosthetics and orthotics  Functional deficiencies  Description of the person to be treated with an orthosis clinical objectives of treatment and functional requirements of the orthosis,https://www.iso.org/standard/76808.html
,ISO 8615:1991,Implants for surgery  Fixation devices for use in the ends of the femur in adults,https://www.iso.org/standard/15945.html
,ISO 8637-1:2024,Extracorporeal systems for blood purification  Part 1: Haemodialysers haemodiafilters haemofilters and haemoconcentrators,https://www.iso.org/standard/86613.html
,ISO 8637-2:2024,Extracorporeal systems for blood purification  Part 2: Extracorporeal blood and fluid circuits for haemodialysers haemodiafilters haemofilters and haemoconcentrators,https://www.iso.org/standard/80229.html
,ISO 8637-3:2024,Extracorporeal systems for blood purification  Part 3: Plasmafilters,https://www.iso.org/standard/86614.html
,ISO 8637:2010 /Amd 1:2013,Cardiovascular implants and extracorporeal systems  Haemodialysers haemodiafilters haemofilters and haemoconcentrators  Amendment 1: Revision to Figure 2  Main fitting dimensions of dialysis fluid inlet and outlet ports,https://www.iso.org/standard/59878.html
,ISO 8638:2010,Cardiovascular implants and extracorporeal systems  Extracorporeal blood circuit for haemodialysers haemodiafilters and haemofilters,https://www.iso.org/standard/53690.html
,ISO 8827:1988,Implants for surgery  Staples with parallel legs for orthopaedic use  General requirements,https://www.iso.org/standard/16301.html
,ISO 8828:2014,Implants for surgery  Guidance on care and handling of orthopaedic implants,https://www.iso.org/standard/59234.html
,ISO 9268:1988,Implants for surgery  Metal bone screws with conical under-surface of head  Dimensions,https://www.iso.org/standard/16918.html
,ISO 9269:1988,Implants for surgery  Metal bone plates  Holes and slots corresponding to screws with conical under-surface,https://www.iso.org/standard/16919.html
,ISO/TR 9325:1989,Implants for surgery  Partial and total hip joint prostheses  Recommendations for simulators for evaluation of hip joint prostheses,https://www.iso.org/standard/16991.html
,ISO/TR 9326:1989,Implants for surgery  Partial and total hip joint prostheses  Guidance for laboratory evaluation of change of form of bearing surfaces,https://www.iso.org/standard/16992.html
,ISO 9583:1993,Implants for surgery  Non-destructive testing  Liquid penetrant inspection of metallic surgical implants,https://www.iso.org/standard/17349.html
,ISO 9584:2023,Implants for surgery  Non-destructive testing  Radiographic examination of cast metallic surgical implants,https://www.iso.org/standard/79957.html
,ISO 9585:1990,Implants for surgery  Determination of bending strength and stiffness of bone plates,https://www.iso.org/standard/17351.html
,ISO/TR 9586:1988,"Implants for surgery  Usage of terms ""valgus"" and ""varus"" in orthopaedic surgery",https://www.iso.org/standard/17352.html
,ISO 9713:2022,Neurosurgical implants  Self-closing intracranial aneurysm clips,https://www.iso.org/standard/75217.html
,ISO 9714-1:2012,Orthopaedic drilling instruments  Part 1: Drill bits taps and countersink cutters,https://www.iso.org/standard/55438.html
,ISO/TR 9966:1989,Implants for surgery  Biocompatibility  Selection of biological test methods for materials and devices,https://www.iso.org/standard/17873.html
,ISO 10310:1995,Neurosurgical implants  Marking and packaging of implantable neural stimulators,https://www.iso.org/standard/18357.html
,ISO 10328-1:1996,Prosthetics  Structural testing of lower-limb prostheses  Part 1: Test configurations,https://www.iso.org/standard/18377.html
,ISO 10328-2:1996,Prosthetics  Structural testing of lower-limb prostheses  Part 2: Test samples,https://www.iso.org/standard/18378.html
,ISO 10328-3:1996,Prosthetics  Structural testing of lower-limb prostheses  Part 3: Principal structural tests,https://www.iso.org/standard/18379.html
,ISO 10328-4:1996,Prosthetics  Structural testing of lower-limb prostheses  Part 4: Loading parameters of principal structural tests,https://www.iso.org/standard/2641.html
,ISO 10328-5:1996,Prosthetics  Structural testing of lower-limb prostheses  Part 5: Supplementary structural tests,https://www.iso.org/standard/21913.html
,ISO 10328-6:1996,Prosthetics  Structural testing of lower-limb prostheses  Part 6: Loading parameters of supplementary structural tests,https://www.iso.org/standard/21912.html
,ISO 10328-7:1996,Prosthetics  Structural testing of lower-limb prostheses  Part 7: Test submission document,https://www.iso.org/standard/21911.html
,ISO 10328-8:1996,Prosthetics  Structural testing of lower-limb prostheses  Part 8: Test report,https://www.iso.org/standard/23757.html
,ISO 10328:2016,Prosthetics  Structural testing of lower-limb prostheses  Requirements and test methods,https://www.iso.org/standard/70205.html
,ISO 10334:1994,Implants for surgery  Malleable wires for use as sutures and other surgical applications,https://www.iso.org/standard/18385.html
,ISO/TS 10974:2018,Assessment of the safety of magnetic resonance imaging for patients with an active implantable medical device,https://www.iso.org/standard/65055.html
,ISO 11318:2002,Cardiac defibrillators  Connector assembly DF-1 for implantable defibrillators  Dimensions and test requirements,https://www.iso.org/standard/31511.html
,ISO 11491:2017,Implants for surgery  Determination of impact resistance of ceramic femoral heads for hip joint prostheses,https://www.iso.org/standard/50561.html
,ISO 11658:2012,Cardiovascular implants and extracorporeal systems  Blood/tissue contact surface modifications for extracorporeal perfusion systems,https://www.iso.org/standard/50659.html
,ISO 11663:2014,Quality of dialysis fluid for haemodialysis and related therapies,https://www.iso.org/standard/61860.html
,ISO 12189:2008,Implants for surgery  Mechanical testing of implantable spinal devices  Fatigue test method for spinal implant assemblies using an anterior support,https://www.iso.org/standard/39288.html
,ISO 12417-1:2024,Cardiovascular implants and extracorporeal systems  Vascular device-drug combination products  Part 1: General requirements,https://www.iso.org/standard/82032.html
,ISO/TR 12417-2:2022,Cardiovascular implants and extracorporeal systems  Vascular device-drug combination products  Part 2: Local regulatory information,https://www.iso.org/standard/80895.html
,ISO/TS 12417:2011,Cardiovascular implants and extracorporeal systems  Vascular device-drug combination products,https://www.iso.org/standard/51419.html
,ISO 12891-1:2015,Retrieval and analysis of surgical implants  Part 1: Retrieval and handling,https://www.iso.org/standard/68008.html
,ISO 12891-2:2020,Retrieval and analysis of surgical implants  Part 2: Analysis of retrieved surgical implants,https://www.iso.org/standard/79950.html
,ISO 12891-3:2000,Retrieval and analysis of surgical implants  Part 3: Analysis of retrieved polymeric surgical implants,https://www.iso.org/standard/25000.html
,ISO 12891-4:2000,Retrieval and analysis of surgical implants  Part 4: Analysis of retrieved ceramic surgical implants,https://www.iso.org/standard/24999.html
,ISO 13019:2018,Tissue-engineered medical products  Quantification of sulfated glycosaminoglycans (sGAG) for evaluation of chondrogenesis,https://www.iso.org/standard/67855.html
,ISO 13175-3:2012,Implants for surgery  Calcium phosphates  Part 3: Hydroxyapatite and beta-tricalcium phosphate bone substitutes,https://www.iso.org/standard/53447.html
,ISO 13179-1:2021,Implants for surgery  Coatings on metallic surgical implants  Part 1: Plasma-sprayed coatings derived from titanium or titanium-6 aluminum-4 vanadium alloy powders,https://www.iso.org/standard/79827.html
,ISO 13356:2015,Implants for surgery  Ceramic materials based on yttria-stabilized tetragonal zirconia (Y-TZP),https://www.iso.org/standard/62373.html
,ISO 13404:2007,Prosthetics and orthotics  Categorization and description of external orthoses and orthotic components,https://www.iso.org/standard/41480.html
,ISO 13405-1:2015,Prosthetics and orthotics  Classification and description of prosthetic components  Part 1: Classification of prosthetic components,https://www.iso.org/standard/42289.html
,ISO 13405-2:2015,Prosthetics and orthotics  Classification and description of prosthetic components  Part 2: Description of lower limb prosthetic components,https://www.iso.org/standard/42290.html
,ISO 13405-3:2015,Prosthetics and orthotics  Classification and description of prosthetic components  Part 3: Description of upper limb prosthetic components,https://www.iso.org/standard/42291.html
,ISO 13779-1:2008,Implants for surgery  Hydroxyapatite  Part 1: Ceramic hydroxyapatite,https://www.iso.org/standard/43826.html
,ISO 13779-2:2018,Implants for surgery  Hydroxyapatite  Part 2: Thermally sprayed coatings of hydroxyapatite,https://www.iso.org/standard/64617.html
,ISO 13779-3:2018 /Amd 1:2021,Implants for surgery  Hydroxyapatite  Part 3: Chemical analysis and characterization of crystallinity ratio and phase purity  Amendment 1,https://www.iso.org/standard/79954.html
,ISO 13779-4:2018,Implants for surgery  Hydroxyapatite  Part 4: Determination of coating adhesion strength,https://www.iso.org/standard/64619.html
,ISO 13779-6:2015,Implants for surgery  Hydroxyapatite  Part 6: Powders,https://www.iso.org/standard/53445.html
,ISO 13781:2017,Implants for surgery  Homopolymers copolymers and blends on poly(lactide)  In vitro degradation testing,https://www.iso.org/standard/64565.html
,ISO 13782:2019,Implants for surgery  Metallic materials  Unalloyed tantalum for surgical implant applications,https://www.iso.org/standard/72596.html
,ISO 13958:2014,Concentrates for haemodialysis and related therapies,https://www.iso.org/standard/61861.html
,ISO 13959:2014,Water for haemodialysis and related therapies,https://www.iso.org/standard/61862.html
,ISO 13960:2010,Cardiovascular implants and extracorporeal systems  Plasmafilters,https://www.iso.org/standard/53691.html
,ISO 14117:2019,Active implantable medical devices  Electromagnetic compatibility  EMC test protocols for implantable cardiac pacemakers implantable cardioverter defibrillators and cardiac resynchronization devices,https://www.iso.org/standard/73915.html
,ISO 14242-1:2014 /Amd 1:2018,Implants for surgery  Wear of total hip-joint prostheses  Part 1: Loading and displacement parameters for wear-testing machines and corresponding environmental conditions for test  Amendment 1,https://www.iso.org/standard/67925.html
,ISO 14242-2:2016,Implants for surgery  Wear of total hip-joint prostheses  Part 2: Methods of measurement,https://www.iso.org/standard/70668.html
,ISO 14242-3:2009 /Amd 1:2019,Implants for surgery  Wear of total hip-joint prostheses  Part 3: Loading and displacement parameters for orbital bearing type wear testing machines and corresponding environmental conditions for test  Amendment 1,https://www.iso.org/standard/69850.html
,ISO 14242-4:2018,Implants for surgery  Wear of total hip-joint prostheses  Part 4: Testing hip prostheses under variations in component positioning which results in direct edge loading,https://www.iso.org/standard/63835.html
,ISO 14243-1:2009 /Amd 1:2020,Implants for surgery  Wear of total knee-joint prostheses  Part 1: Loading and displacement parameters for wear-testing machines with load control and corresponding environmental conditions for test  Amendment 1,https://www.iso.org/standard/77174.html
,ISO 14243-2:2016,Implants for surgery  Wear of total knee-joint prostheses  Part 2: Methods of measurement,https://www.iso.org/standard/69851.html
,ISO 14243-3:2014 /Amd 1:2020,Implants for surgery  Wear of total knee-joint prostheses  Part 3: Loading and displacement parameters for wear-testing machines with displacement control and corresponding environmental conditions for test  Amendment 1,https://www.iso.org/standard/77175.html
,ISO 14243-5:2019,Implants for surgery  Wear of total knee prostheses  Part 5: Durability performance of the patellofemoral joint,https://www.iso.org/standard/67628.html
,ISO/TR 14283:2018,Implants for surgery  Essential principles of safety and performance,https://www.iso.org/standard/68007.html
,ISO 14602:2010,Non-active surgical implants  Implants for osteosynthesis  Particular requirements,https://www.iso.org/standard/52671.html
,ISO 14607:2018,Non-active surgical implants  Mammary implants  Particular requirements,https://www.iso.org/standard/63973.html
,ISO 14630:2024,Non-active surgical implants  General requirements,https://www.iso.org/standard/76810.html
,ISO 14708-1:2014,Implants for surgery  Active implantable medical devices  Part 1: General requirements for safety marking and for information to be provided by the manufacturer,https://www.iso.org/standard/52804.html
,ISO 14708-2:2019,Implants for surgery  Active implantable medical devices  Part 2: Cardiac pacemakers,https://www.iso.org/standard/67699.html
,ISO 14708-3:2017,Implants for surgery  Active implantable medical devices  Part 3: Implantable neurostimulators,https://www.iso.org/standard/60539.html
,ISO 14708-4:2022,Implants for surgery  Active implantable medical devices  Part 4: Implantable infusion pump systems,https://www.iso.org/standard/73537.html
,ISO 14708-5:2020,Implants for surgery  Active implantable medical devices  Part 5: Circulatory support devices,https://www.iso.org/standard/69898.html
,ISO 14708-6:2019,Implants for surgery  Active implantable medical devices  Part 6: Particular requirements for active implantable medical devices intended to treat tachyarrhythmia (including implantable defibrillators),https://www.iso.org/standard/67700.html
,ISO 14708-7:2019,Implants for surgery  Active implantable medical devices  Part 7: Particular requirements for cochlear and auditory brainstem implant systems,https://www.iso.org/standard/67701.html
,ISO 14879-1:2020,Implants for surgery  Total knee-joint prostheses  Part 1: Determination of endurance properties of knee tibial trays,https://www.iso.org/standard/72356.html
,ISO 14949:2001,Implants for surgery  Two-part addition-cure silicone elastomers,https://www.iso.org/standard/25392.html
,ISO 15032:2000,Prostheses  Structural testing of hip units,https://www.iso.org/standard/24632.html
,ISO 15142-1:2003,Implants for surgery  Metal intramedullary nailing systems  Part 1: Intramedullary nails,https://www.iso.org/standard/26461.html
,ISO 15142-2:2003,Implants for surgery  Metal intramedullary nailing systems  Part 2: Locking components,https://www.iso.org/standard/26462.html
,ISO 15142-3:2003,Implants for surgery  Metal intramedullary nailing systems  Part 3: Connection devices and reamer diameter measurements,https://www.iso.org/standard/26463.html
,ISO 15309:2013,Implants for surgery  Differential scanning calorimetry of poly ether ether ketone (PEEK) polymers and compounds for use in implantable medical devices,https://www.iso.org/standard/55403.html
,ISO 15374:1998,Implants for surgery  Requirements for production of forgings,https://www.iso.org/standard/26838.html
,ISO/TS 15539:2000,Cardiovascular implants  Endovascular prostheses,https://www.iso.org/standard/28154.html
,ISO 15674:2016 /Amd 1:2020,Cardiovascular implants and artificial organs  Hard-shell cardiotomy/venous reservoir systems (with/without filter) and soft venous reservoir bags  Amendment 1: Connectors,https://www.iso.org/standard/74733.html
,ISO 15675:2016 /Amd 1:2020,Cardiovascular implants and artificial organs  Cardiopulmonary bypass systems  Arterial blood line filters  Amendment 1: Connectors,https://www.iso.org/standard/74734.html
,ISO 15676:2016,Cardiovascular implants and artificial organs  Requirements for single-use tubing packs for cardiopulmonary bypass and extracorporeal membrane oxygenation (ECMO),https://www.iso.org/standard/66311.html
,ISO 15814:1999,Implants for surgery  Copolymers and blends based on polylactide  In vitro degradation testing,https://www.iso.org/standard/26107.html
,ISO 16054:2019,Implants for surgery  Minimum data sets for surgical implants,https://www.iso.org/standard/69882.html
,ISO 16061:2021,Instruments for use in association with non-active surgical implants  General requirements,https://www.iso.org/standard/74548.html
,ISO 16087:2013,Implants for surgery  Roentgen stereophotogrammetric analysis for the assessment of migration of orthopaedic implants,https://www.iso.org/standard/55662.html
,ISO/TR 16379:2014,Tissue-engineered medical products  Evaluation of anisotropic structure of articular cartilage using DT (Diffusion Tensor)-MR Imaging,https://www.iso.org/standard/56592.html
,ISO 16402:2008,Implants for surgery  Acrylic resin cement  Flexural fatigue testing of acrylic resin cements used in orthopaedics,https://www.iso.org/standard/32212.html
