ASD Acronym,Designation,Title of Standard,Project Action,Date SA PINS,Date SA BSR8,Date Final Action,PR status,CON_id::Email,__pk_PSA_id
APCO,ANSI/APCO 1.116.2-2015 (R2020),Public Safety Communications Common Status Codes for Data Exchange ,(reaffirmation and redesignation of ANSI/APCO 1.116.1-2015),10/11/2019,12/06/2019,01/30/2020,Approved,jarrella@apcointl.org,182102
APCO,ANSI/APCO 1.117.1-2019,Public Safety Communications Center Key Performance Indicators,(new standard),09/15/2017,08/16/2019,10/17/2019,Approved,jarrella@apcointl.org,175099
APCO,ANSI/APCO 1.118.1-2020,Key Performance Indicators for Public Safety Communications Personnel,(new standard),10/13/2017,07/31/2020,10/30/2020,Approved,jarrella@apcointl.org,175441
APCO,ANSI/APCO 1.119.1-2021,Public Safety Telecommunicator Critical Incident Stress Debriefing Program,(new standard),09/21/2018,07/31/2020,04/08/2021,Approved,jarrella@apcointl.org,178550
APCO,ANSI/APCO 1.120.1-2021,Crisis Intervention Techniques and Call Handling Procedures for Public Safety Telecommunicators,(new standard),09/15/2017,06/18/2021,08/31/2021,Approved,jarrella@apcointl.org,175100
APCO,ANSI/APCO 1.121.1-2022,Managing Operational Overload in the Emergency Communication Center,(new standard),10/25/2019,12/03/2021,02/14/2022,Approved,jarrella@apcointl.org,181846
APCO,ANSI/APCO 1.122.1-2023,Career Progression within the Public Safety Emergency Communications Center,(new standard),08/07/2020,03/17/2023,05/22/2023,Approved,jarrella@apcointl.org,184165
APCO,ANSI/APCO 1.124.1-2024,Supplemental Emergency Responder Recommendations,(new standard),09/24/2021,05/31/2024,08/19/2024,Approved,jarrella@apcointl.org,187561
APCO,ANSI/APCO 2.103.2-2019,Public Safety Communications Common Incident Types for Data Exchange,(revision and redesignation of ANSI/APCO 2.103.1-2012),03/02/2018,08/02/2019,10/18/2019,Approved,jarrella@apcointl.org,176645
APCO,ANSI/APCO 2.106.1-2019,Public Safety Grade site Hardening Requirements,(new standard),02/19/2016,03/15/2019,06/11/2019,Approved,jarrella@apcointl.org,170374
APCO,ANSI/APCO 3.101.3-2017,Core Competencies and Minimum Training Standards for Public Safety Communications Training Officer (CTO),(revision and redesignation of ANSI/APCO 3.101.2-2013),03/13/2015,07/22/2016,09/12/2017,Approved,jarrella@apcointl.org,167835
APCO,ANSI/APCO 3.102.2-2017,Core Competencies and Minimum Training Standards for Public Safety Communications Supervisors,(revision and redesignation of ANSI/APCO 3.102.1-2012),03/13/2015,07/22/2016,09/12/2017,Approved,jarrella@apcointl.org,167830
APCO,ANSI/APCO 3.103.2-2015,Minimum Training Standards for Public Safety Telecommunicators,(revision and redesignation of ANSI/APCO 3.103.1-2010),03/15/2013,04/10/2015,07/14/2015,Approved,jarrella@apcointl.org,162381
APCO,ANSI/APCO 3.104.2-2017,Core Competencies and Minimum Training Standard for Public Safety Communications Training Coordinator,(revision and redesignation of ANSI/APCO 3.104.1-2012),03/13/2015,06/12/2015,09/19/2017,Approved,jarrella@apcointl.org,167829
APCO,ANSI/APCO 3.106.2-2017,Core Competencies and Minimum Training Standards for Public Safety Communications Quality Assurance Evaluators,(revision and redesignation of ANSI/APCO 3.106.1-2013),06/12/2015,07/22/2016,09/12/2017,Approved,jarrella@apcointl.org,168516
APCO,ANSI/APCO 3.107.2-2022,Core Competencies and Minimum Training Requirements for Public Safety Communications Technician,(revision and redesignation of ANSI/APCO 3.107.1-2015),11/02/2018,10/29/2021,01/18/2022,Approved,jarrella@apcointl.org,178831
APCO,ANSI/APCO 3.108.2-2018,Core Competencies and Minimum Training Standards for Public Safety Communications Instructor,(revision and redesignation of ANSI/APCO 3.108.1-2014),09/29/2017,03/23/2018,06/07/2018,Approved,jarrella@apcointl.org,175215
APCO,ANSI/APCO 3.109.3-2022,Core Competencies and Minimum Training Standards for Public Safety Communications Manager/Director,(revision and redesignation of ANSI/APCO 3.109.2-2014),02/15/2019,11/05/2021,01/18/2022,Approved,jarrella@apcointl.org,154008
APCO,ANSI/APCO 3.110.1-2019,Cyber Security Training for Public Safety Communications Personnel,(new standard),09/08/2017,10/18/2019,12/17/2019,Approved,jarrella@apcointl.org,175067
APCO,ANSI/APCO 3.111.1-2022,Detecting Early Warning Symptoms of Stress in Public Safety Telecommunicators,(new standard),02/15/2019,09/02/2022,11/08/2022,Approved,jarrella@apcointl.org,184977
APCO,ANSI/APCO/NENA 1.102.3-2020,Public Safety Answering Point (PSAP) Service Capability Criteria Rating Scale,(revision and redesignation of ANSI/APCO/NENA 1.102.2-2010),07/11/2014,12/06/2019,01/30/2020,Approved,jarrella@apcointl.org,166216
APCO,ANSI/APCO/NENA 1.105.2-2015,Standard for Telecommunicator Emergency Response Taskforce (TERT) Deployment,(revision and redesignation of ANSI/APCO/NENA 1.105.1-2009),12/12/2014,02/06/2015,07/14/2015,Approved,lawrencec@apcointl.org; standards@apcointl.org,167287
APCO,ANSI/APCO/NENA 2.102.1-2022,APCO NENA Advanced Automatic Crash Notification (AACN) Vehicle Emergency Data Set (VEDS),(new standard),02/17/2012,03/11/2022,05/13/2022,Approved,jarrella@apcointl.org,158830
APCO,ANSI/APCO/NENA 2.105.1-2017,APCO/NENA NG 9-1-1 Emergency Incident Data Document (EIDD),(new standard),04/26/2013,06/03/2016,01/03/2017,Approved,jarrella@apcointl.org,162789
APCO,ANSI/APCO/NENA 3.105.1-2015,Minimum Training Standard for TTY/TDD Use in the Public Safety Communications Center,(new standard),10/01/2010,12/12/2014,02/24/2015,Approved,jarrella@apcointl.org,154007
APCO,ANSI/APCO/NPSTC 1.104.2-2017,Standard Channel Nomenclature for the Public Safety Interoperability Channels,(revision and redesignation of ANSI/APCO/NPSTC 1.104.1-2010),12/12/2014,12/25/2015,01/03/2017,Approved,jarrella@apcointl.org,167288
APCO,ANSI/APCO/TMA 2.101.3-2021,Alarm Monitoring Company to Emergency Communications Center (ECC) Computer Aided Dispatch (CAD) Automated Secure Alarm Protocol (ASAP),(revision and redesignation of ANSI/APCO/CSAA 2.101.2-2014),04/26/2019,01/29/2021,04/08/2021,Approved,jarrella@apcointl.org,180054
API,ANSI/API 13M/ISO 13503-1-2004 (R2023),Recommended Practice for the Measurement of Viscous Properties of Completion Fluids,(reaffirm a national adoption ANSI/API 13M/ISO 13503-1-2004 (R2018)),,05/26/2023,07/31/2023,Approved,pintoi@api.org,192229
API,ANSI/API 780-2013 (R2022),Security Risk Assessment Methodology for the Petroleum and Petrochemical Industries,(reaffirmation of ANSI/API 780-2013),,12/17/2021,02/11/2022,Approved,fusarop@api.org,188229
API,ANSI/API MPMS 14.3.1-2011 (R2022),"Concentric, Square-edged Orifice Meters Part 1: General Equations and Uncertainty Guidelines",(reaffirmation of ANSI/API MPMS 14.3.1-2011 (R2021)),,04/08/2022,07/21/2022,Approved,fusarop@api.org,188967
API,ANSI/API MPMS CH. 14.3.3-2012 (R2021),"Orifice Metering of Natural Gas and Other Related Hydrocarbon Fluids - Concentric, Square-edged Orifice Meters, Part 3 - Natural Gas Applications",(reaffirmation of ANSI/API MPMS CH. 14.3.3-2012),,02/19/2021,06/03/2021,Approved,goodsons@api.org,185492
API,ANSI/API MPMS Ch. 21.1-2011 (R2021),Flow Measurement Using Electronic Metering Systems - Electronic Gas Measurement,(reaffirmation of ANSI/API MPMS Ch. 21.1-2011),,02/19/2021,06/03/2021,Approved,goodsons@api.org,185494
API,"ANSI/API MPMS Chapter 14.3.2, 5th Ed.-2016 (R2024)","Orifice Metering of Natural Gas and Other Related Hydrocarbon Fluids - Concentric, Square-edged Orifice Meters - Part 2: Specification and Installation Requirements","(reaffirmation of ANSI/API MPMS Chapter 14.3.2, 5th Ed.-2016)",,07/05/2024,08/20/2024,Approved,bankinsl@api.org,195563
API,"ANSI/API MPMS Chapter 17.10.1/ISO 10976, 2nd Edition-2021",Modified Adoption of ISO 10976:2015: Refrigerated Light Hydrocarbon Fluids—Measurement of Cargoes On Board Marine LNG Carriers,"(national adoption of ISO 10976:2015 with modifications and revision of ANSI/API MPMS Ch. 17.10.1/ISO 10976, 1st Edition-2014 (R2020))",02/07/2020,12/18/2020,03/24/2021,Approved,goodsons@api.org,182443
API,"ANSI/API MPMS Chapter 2.2C, 1st Edition-2002 (R2021)",Calibration of Upright Cylindrical Tanks Using the Optical-Triangulation Method,"(reaffirm a national adoption ANSI/API MPMS Chapter 2.2C, 1st Edition-2002 (R2015))",,02/19/2021,06/15/2021,Approved,MonchakN@api.org,185503
API,"ANSI/API MPMS Chapter 2.2E, 1st Edition-2004 (R2021)",Petroleum and Liquid Petroleum Products - Calibration of Horizontal Cylindrical Tanks - Part 1: Manual Methods,"(reaffirm a national adoption ANSI/API MPMS Chapter 2.2E, 1st Edition-2004 (R2015))",,02/19/2021,06/15/2021,Approved,MonchakN@api.org,185504
API,"ANSI/API MPMS Chapter 2.2F, 1st Edition-2004 (R2021)",Petroleum and Liquid Petroleum Products - Calibration of Horizontal Cylindrical Tanks - Part 2: Internal Electro-optical Distance-ranging Method,"(reaffirm a national adoption ANSI/API MPMS Chapter 2.2F, 1st Edition-2004 (R2015))",,02/19/2021,06/15/2021,Approved,MonchakN@api.org,185502
API,ANSI/API MPMS Chapter 7.5/ISWO 8310-2012 (R2020),Automatic Tank Temperature Measurement Onboard Marine Vessels Carrying Refrigerated Hydrocarbon and Chemical Gas Fluids,"(reaffirm a national adoption ANSI/API MPMS Chapter 7.5, 1st Edition-2014)",,08/16/2019,01/21/2020,Approved,goodsons@api.org,181396
API,"ANSI/API MPMS Chapter 8.6, 1st Edition-2019",Modified Adoption of ISO 8943-2007: Refrigerated light hydrocarbon fluids – Sampling of liquified natural gas – Continuous and intermittent methods,(national adoption with modifications of ISO 8943:2007),06/15/2018,11/29/2019,02/13/2020,Approved,goodsons@api.org,177509
API,"ANSI/API MPMS Chapter 9.4, 1st edition-2017",Continuous Density Measurement Under Dynamic (Flowing) Conditions,(new standard),04/10/2015,10/14/2016,01/25/2017,Approved,goodsons@api.org,168056
API,ANSI/API Recommended Practice 100-3-2024,Community Engagement Guidelines,(revision of ANSI/API Bulletin 100-3-2014),06/18/2021,12/22/2023,02/26/2024,Approved,burklek@api.org,186611
API,ANSI/API Recommended Practice 19G4 (ISO 17078-4)-2011 (R2022),Practices for Sidepocket Mandrels and Related Equipment,(reaffirm a national adoption ANSI/API 19G4 (ISO 17078-4)-2011),,04/08/2022,09/13/2022,Approved,burklek@api.org,185513
API,ANSI/API Recommended Practice 2EQ-2014,Seismic Design Procedures for Offshore Structures,(national adoption with modifications of ISO 19901-2:2004),10/02/2009,08/22/2014,10/16/2014,Approved,goodmanr@api.org,151227
API,"ANSI/API Recommended Practice 754, Third Edition-2021",Process Safety Performance Indicators for the Refining and Petrochemical Industries,"(revision and redesignation of ANSI/API Recommended Practice 754, Second Edition-2016)",08/30/2019,06/04/2021,07/22/2021,Approved,hughesc@api.org,181476
API,ANSI/API RP 100-1-2019 (R2020),Hydraulic Fracturing—Well Integrity and Fracture Containment,(reaffirmation of ANSI/API RP 100-1-2019),,07/03/2020,08/27/2020,Approved,goodmanr@api.org,183924
API,ANSI/API RP 100-2-2015 (R2020),Managing Environmental Aspects Associated with Exploration and Production Operations including Hydraulic Fracturing,(reaffirmation of ANSI/API RP 100-2-2015),,07/03/2020,08/27/2020,Approved,goodmanr@api.org,175184
API,ANSI/API RP 10B-5/ISO 10426-5-2010 (R2020),Recommended Practice on Determination of Shrinkage and Expansion of Well Cement Formulations at Atmospheric Pressure,(reaffirm a national adoption ANSI/API RP 10B-5/ISO 10426-5-2010 (R2015)),,02/28/2020,08/24/2020,Approved,RouecheJ@api.org,182613
API,"ANSI/API RP 10B-6/ISO 10426-6-2008, Addendum 1-2020",Recommended Practice on Determining the Static Gel Strength of Cement Formulations,(identical national adoption of ISO 10426-6:2008),10/04/2019,11/22/2019,01/10/2020,Approved,RouecheJ@api.org,181794
API,ANSI/API RP 10B-6/ISO 10426-6-2010 (R2019),Recommended Practice on Determining the Static Gel Strength of Cement Formulations,(reaffirm a national adoption ANSI/API RP 10B-6/ISO 10426-6-2010 (R2015)),,09/13/2019,12/03/2019,Approved,RouecheJ@api.org,181619
API,ANSI/API RP 10D-2/ISO 10427-2-2004 (R2020),Recommended Practice for Centralizer Placement and Stop-collar Testing,(reaffirm a national adoption ANSI/API RP 10D-2/ISO 10427-2-2004 (R2015)),,09/13/2019,01/10/2020,Approved,RouecheJ@api.org,181550
API,ANSI/API RP 1162-2022,Public Awareness Programs for Pipeline Operators,(new standard),05/25/2018,06/10/2022,08/19/2022,Approved,buflodj@api.org,177305
API,ANSI/API RP 1173-2015 (R2023),Pipeline Safety Management Systems,(reaffirmation of ANSI/API RP 1173-2015),,12/02/2022,04/17/2023,Approved,buflodj@api.org,190841
API,ANSI/API RP 13M-4/ISO 13503-4-2006 (R2020),"API Recommended Practice for Measuring Stimulation and Gravel-pack Fluid Leakoff Under Static Conditions, 1st Edition",(reaffirm a national adoption ANSI/API RP 13M/ISO 13503-4-2006),,05/29/2020,09/22/2020,Approved,RouecheJ@api.org,167923
API,ANSI/API RP 13M-6/ISO 13503-6-2020,Recommended Practice for Measuring Leakoff of Completion Fluids Under Dynamic Conditions 1st Edition-2016,(national adoption with modifications of ISO 13503-6:2012),04/01/2016,04/12/2019,02/11/2020,Approved,RouecheJ@api.org,170724
API,ANSI/API RP 2EQ/ISO 19901-2:2004 (R2021),Seismic Design Procedures and Criteria for Offshore Structures,(reaffirm a national adoption ANSI/API RP 2EQ-2018),,05/08/2020,01/04/2021,Approved,cocob@api.org,183247
API,ANSI/API RP 2GEO/ISO 19901:2003 (R2021),Geotechnical and Foundation Design Considerations,(reaffirm a national adoption ANSI/API Recommended Practice 2GEO-2014),,05/08/2020,01/04/2021,Approved,cocob@api.org,183242
API,"ANSI/API RP 2MET, Second Edition-2021",Derivation of Metocean Design and Operating Conditions,(national adoption of ISO 19901-1:2015 with modifications and revision of ANSI/API RP 2MET-2014),08/03/2018,05/08/2020,01/04/2021,Approved,cocob@api.org,178050
API,ANSI/API RP 2MOP/ISO 19901-6:2009 (R2021),Marine Operations,(reaffirm a national adoption ANSI/API Recommended Practice 2MOP-2010 (R2015)),,05/08/2020,01/04/2021,Approved,cocob@api.org,183243
API,ANSI/API RP 2N/ISO 19906:2010 (R2021),"Planning, Designing, and Constructing Structures and Pipelines for Arctic Conditions",(reaffirm a national adoption ANSI/API Recommended Practice 2N-2015),,05/08/2020,01/04/2021,Approved,cocob@api.org,183244
API,ANSI/API RP 2TOP-2019,Topsides Structure,(national adoption with modifications of ISO 19901-3:2010),02/02/2018,09/07/2018,05/01/2019,Approved,cocob@api.org,176318
API,ANSI/API RP 3000-2014 (R2022),Classifying and Loading of Crude Oil into Rail Tank Cars,(reaffirmation of ANSI/API RP 3000-2014),,09/30/2022,12/05/2022,Approved,fusarop@api.org,190330
API,ANSI/API RP 5A5/ISO 15463-2010 (R2021),"Field Inspection of New Casing, Tubing, and Plain-end Drill Pipe",(reaffirm a national adoption ANSI/API RP 5A5/ISO 15463-2010 (R2015)),,05/08/2020,01/04/2021,Approved,cocob@api.org,183216
API,ANSI/API Spec 5CRA/ISO 13680-2022,"CorrosionResistant Alloy Seamless Products for Use as Casing, Tubing, Coupling Stock and Accessory Material","(national adoption of ISO 13680:2020 with modifications and revision of ANSI/API Spec 5CRA/ISO 13680, 1st Edition-2009 (R2021))",07/23/2021,10/22/2021,08/09/2022,Approved,cocob@api.org,186872
API,"ANSI/API Spec 5CRA/ISO 13680, 1st Edition-2009 (R2021)","Specification for Corrosion-resistant Alloy Seamless Tubes for Use as Casing, Tubing, and Coupling Stock","(reaffirm a national adoption ANSI/API Spec 5CRA/ISO 13680, 1st Edition-2009 (R2015))",,05/08/2020,01/04/2021,Approved,cocob@api.org,183217
API,ANSI/API SPEC 7-1/ISO 10424-1-2004 (R2021),Specification for Rotary Drill Stem Elements,(reaffirm a national adoption ANSI/API Spec 7-1/ISO 10424-1-2004-2018),,07/24/2020,01/04/2021,Approved,cocob@api.org,184071
API,"ANSI/API Specification 19AC/ISO 14998, 1st Edition-2016 (R2022)",Specification for Completion Accessories,"(reaffirmation of ANSI/API Specification 19AC/ISO 14998, 1st Edition-2016)",,12/17/2021,02/07/2022,Approved,burklek@api.org,188227
API,ANSI/API Specification 19G3 (ISO 17078-3)-2011 (R2022),"Running Tools, Pulling Tools and Kickover Tools and Latches for Sidepocket Mandrels",(reaffirm a national adoption ANSI/API Specification 19G3 (ISO 17078-3)-2011),03/17/2017,04/08/2022,09/13/2022,Approved,burklek@api.org,185512
API,ANSI/API Specification 19SS/ISO 17824:2010,Sand Screens,(identical national adoption of ISO 17824:2009),08/03/2012,04/15/2016,04/19/2018,Approved,miller@api.org,160385
API,ANSI/API STANDARD 2350-2020,Overfill Prevention for Atmospheric Storage Tanks in Petroleum Facilities,(revision of ANSI/API STANDARD 2350-2012),08/19/2016,05/15/2020,09/16/2020,Approved,godoyj@api.org,171798
API,ANSI/API Standard 537-2016,"Flare Details for Petroleum, Petrochemical and Natural Gas Industries",(new standard),02/20/2015,01/29/2016,04/25/2016,Approved,miller@api.org,167632
API,ANSI/API Standard 537-2020,"Flare Details for Petroleum, Petrochemical, and Natural Gas Industries","(supplement to BSR/API Standard 537, 3rd Edition, 1st Addendum-201x)",12/14/2018,06/07/2019,06/08/2020,Approved,miller@api.org,179138
API,ANSI/API Standard 618-2008 (R2016),"Reciprocating Compressors for Petroleum, Chemical, and Gas Industry Services",(reaffirm a national adoption ANSI/API 618-2008),01/28/2011,12/26/2014,08/03/2016,Approved,hughesc@api.org,154737
API,ANSI/API Standard 619-2010 (R2022),"Rotary-Type Positive Displacement Compressors for Petroleum, Petrochemical and Natural Gas Industries",(reaffirm a national adoption ANSI/API Standard 619-2010),,09/30/2022,01/09/2023,Approved,godoyj@api.org,169957
API,"ANSI/API Standard 662, Part 1-2011","Plate Heat Exchangers for General Refinery Services, Part 1 - Plate-and-Frame Heat Exchangers",(identical national adoption of ISO 15547-1:2005),11/05/2010,12/31/2010,02/22/2011,Approved,miller@api.org,154206
API,ANSI/API Standard RP 755-2019,Fatigue Risk Management Systems for Personnel in the Refining and Petrochemical Industries,(revision of ANSI/API Standard RP 755-2010 (R2018)),12/16/2016,11/09/2018,03/27/2019,Approved,miller@api.org,178769
APTech (ASC B65),ANSI B65-1-2011 (R2022),Graphic Technology - Safety requirements for graphic technology equipment and systems - Part 1: General requirements,(reaffirm a national adoption ANSI B65-1-2011),,03/04/2022,08/24/2022,Approved,jshaffer@aptech.org,188647
APTech (ASC B65),ANSI B65-2-2011 (R2022),Graphic technology — Safety requirements for graphic technology equipment and systems — Part 2: Prepress and press equipment and systems,(reaffirm a national adoption ANSI B65-2-2011),,03/04/2022,08/24/2022,Approved,jshaffer@aptech.org,188648
APTech (ASC B65),ANSI B65-3-2011 (R2022),Graphic technology — Safety requirements for graphic technology equipment and systems — Part 3: Binding and finishing equipment and systems,(reaffirm a national adoption ANSI B65-3-2011),,03/04/2022,08/24/2022,Approved,jshaffer@aptech.org,188650
APTech (ASC B65),ANSI B65-5-2011 (R2022),Graphic technology — Safety requirements for graphic technology equipment and systems — Part 5: Stand-alone platen presses,(reaffirm a national adoption ANSI B65-5-2011),,03/04/2022,08/03/2022,Approved,jshaffer@aptech.org,188653
APTech (ASC B65),ANSI B65/NAPIM 177.1-2018,Safety standard  Three-roll printing ink mills,(revision of ANSI B65/NAPIM 177.1-2017),06/01/2018,08/10/2018,11/07/2018,Approved,jshaffer@aptech.org,177153
APTech (ASC B65),ANSI B65/NAPIM 177.2-2017,Safety standard  -  Printing ink vertical post mixers,(revision of ANSI/NAPIM 177.2-2006 (R2011)),01/20/2017,07/21/2017,09/15/2017,Approved,jshaffer@aptech.org,172955
APTech (ASC CGATS),ANSI CGATS 12642-1 (IT8.7/3)-2015 (R2020),Graphic technology — Input data for characterization of four-colour process printing — Part 1: Initial data set,(reaffirm a national adoption ANSI CGATS 12642-1 (IT8.7/3)-2015),,04/24/2020,06/23/2020,Approved,jshaffer@aptech.org,183138
APTech (ASC CGATS),ANSI CGATS 12642-2 (IT8.7/4)-2015 (R2020),Graphic technology - Input data for characterization of 4-colour process printing - Part 2: Expanded data set,(reaffirm a national adoption ANSI CGATS 12642-2 (IT8.7/4)-2015),,04/24/2020,10/30/2020,Approved,jshaffer@aptech.org,183139
APTech (ASC CGATS),ANSI CGATS.17-2009 (R2020),Graphic Technology - Exchange Format For Colour And Process Control Data Using XML Or ASCII Text,(reaffirm a national adoption ANSI CGATS.17-2009 (R2015)),,03/27/2020,06/19/2020,Approved,jshaffer@aptech.org,182815
APTech (ASC CGATS),ANSI CGATS.22-2022,"Graphic technology — Spectral reflection metrology — Certified reference materials — Documentation and procedures for use, including determination of combined standard uncertainty",(new standard),07/09/2021,09/17/2021,04/05/2022,Approved,jshaffer@aptech.org,186836
APTech (ASC CGATS),ANSI CGATS.4-2021,"Graphic technology — Graphic arts reflection densitometry measurements —Terminology, equations, image elements and procedures",(revision of ANSI/CGATS.4-2011 (R2016)),,09/17/2021,02/28/2022,Approved,jshaffer@aptech.org,187422
APTech (ASC CGATS),ANSI CGATS.5-2018 (R2024),Graphic technology — Spectral measurement and colorimetric computation for graphic arts images,(reaffirm a national adoption ANSI CGATS.5-2018),,08/25/2023,01/29/2024,Approved,jshaffer@aptech.org,192934
APTech (ASC CGATS),ANSI CGATS.9-2019,"Graphic technology  Graphic arts transmission densitometry measurements  Terminequations, image elements and procedures",(revision of ANSI CGATS.9-2007 (R2012)),09/21/2018,12/21/2018,10/24/2019,Approved,jshaffer@aptech.org,178496
APTech (ASC CGATS),ANSI CGATS/ISO 12640-1-2007 (R2021),Graphic technology — Prepress digital data exchange — Part 1: CMYK standard colour image data (CMYK/SCID),(reaffirmation of ANSI CGATS/ISO 12640-1-2007 (R2015)),,02/12/2021,04/16/2021,Approved,jshaffer@aptech.org,185471
APTech (ASC CGATS),ANSI CGATS/ISO 12640-2-2022,Graphic Technology - Prepress Digital Data Exchange - Part 2: XYX/SRGB Encoded StandardColour Image Data (XYZ/SCID)),(national adoption of ISO 12640-2 with modifications and revision of ANSI CGATS/ISO 12640-2-2007 (R2013)),,08/13/2021,09/26/2022,Approved,jshaffer@aptech.org,185466
APTech (ASC CGATS),ANSI CGATS/ISO 12640-3-2023,Graphic technology - Prepress digital data exchange - Part 3: CIELAB standard colour imagedata (CIELAB/SCID),(identical national adoption of ISO 12640-3:2022 and revision of ANSI/CGATS/ISO 12640-3-2007 (R2021)),,02/17/2023,06/22/2023,Approved,jshaffer@aptech.org,191303
APTech (ASC CGATS),ANSI CGATS/ISO 12641-1-2018,Graphic technology  -  Prepress digital data exchange  -  Colour targets for input scanner calibration  - Part 1: Colour targets for input scanner calibration,(identical national adoption of ISO 12641-1),08/11/2017,10/06/2017,02/27/2018,Approved,jshaffer@aptech.org,174732
APTech (ASC CGATS),ANSI CGATS/ISO 15930-1-2004/ISO 15930-1-2001 (R2022),Graphic technology - Prepress digital data exchange - Use of PDF - Part 1: Complete exchange using CMYK data (PDF/X-1 and PDF/X-1a),(reaffirm a national adoption ANSI CGATS/ISO 15930-1-2004/ISO 15930-1-2001 (R2017)),,09/09/2022,11/11/2022,Approved,jshaffer@aptech.org,190231
APTech (ASC CGATS),ANSI CGATS/ISO 15930-3-2004/ISO 15930-3-2002 (R2022),Graphic technology - Prepress digital data exchange - Use of PDF - Part 3: Complete exchange suitable for color managed workflows (PDF/X-3),(reaffirm a national adoption ANSI CGATS/ISO 15930-3-2004/ISO 15930-3-2002 (R2013)),,02/19/2021,04/06/2022,Approved,jshaffer@aptech.org,185490
APTech (ASC CGATS),ANSI CGATS/ISO 15930-6-2022,Graphic technology — Prepress digital data exchange using PDF — Part 6: Complete exchange printing data suitable for colour-manage workflows using PDF 1.4 (PDF/X-3),(national adoption of ISO 15930-6 with modifications and revision of ANSI/CGATS/ISO 15930-6-2004 (R2018)),,10/01/2021,04/06/2022,Approved,jshaffer@aptech.org,185557
APTech (ASC CGATS),ANSI IT8.6-2017 (R2022),Graphic technology — Prepress digital data exchange — Diecutting data (DDES3),(reaffirmation of ANSI IT8.6-2017),,02/11/2022,04/05/2022,Approved,jshaffer@aptech.org,188542
APTech (ASC CGATS),ANSI IT8.7/5-2019,Graphic technology  Input data for characterization of 4-color process printing  Extended data set,(new standard),10/06/2017,06/29/2018,04/12/2019,Approved,jshaffer@aptech.org,175220
APTech (ASC CGATS),ANSI/CGATS 21-1-2013 (R2021),Graphic technology — Printing from digital data across multiple technologies — Part 1: Principles,(reaffirmation of ANSI/CGATS 21-1-2013),,12/20/2019,04/08/2021,Approved,jshaffer@aptech.org,182188
APTech (ASC CGATS),ANSI/CGATS 21-2-2021,Graphic technology — Printing from digital data across multiple technologies — Part 2: Reference characterization data,(revision of ANSI/CGATS 21-2-2013),07/24/2020,02/05/2021,04/08/2021,Approved,jshaffer@aptech.org,184048
APTech (ASC CGATS),ANSI/CGATS ISO 12639-2004 (R2019),Graphic technology -- Prepress digital data exchange -- Tag image file format for image technology (TIFF/IT),(reaffirm a national adoption ANSI/CGATS ISO 12639-2004 (R2013)),,09/14/2018,03/14/2019,Approved,jshaffer@aptech.org,178410
APTech (ASC CGATS),ANSI/CGATS/ISO 12639 Amd1-2006,Graphic technology - Prepress digital data exchange - Tag image file format for image technology (TIFF/IT) - Amendment 1,(identical national adoption of ISO 12639:2004 AMD1),,02/24/2006,06/14/2006,Approved,jshaffer@aptech.org,137795
APTech (ASC CGATS),ANSI/CGATS/ISO 12640-4-2012 (R2018),Graphic technology  Prepress digital data exchange  Part 4: Wide gamut display-referred standard colour image data [Adobe RGB (1998)/SCID],(reaffirm a national adoption ANSI CGATS/ISO 12640-4-2012),,02/09/2018,04/17/2018,Approved,jshaffer@aptech.org,176307
APTech (ASC CGATS),ANSI/CGATS/ISO 12646-2024,Graphic technology — Displays for colour proofing — Characteristics,(identical national adoption of ISO 12646:2015 and revision of ANSI/CGATS/ISO 12646-2017),07/07/2023,09/08/2023,01/29/2024,Approved,jshaffer@aptech.org,192533
APTech (ASC CGATS),ANSI/CGATS/ISO 12646/Amd 1:2008,Graphic technology  -  Displays for colour proofing  -  Characteristics and viewing conditions AMENDMENT 1,(identical national adoption of ISO 12646:2008/Amd 1:2010),09/10/2010,11/05/2010,01/13/2011,Approved,jshaffer@aptech.org,153826
APTech (ASC CGATS),ANSI/CGATS/ISO 15790-2005 (R2013),"Graphic technology and photography - Certified reference materials for reflection and transmission metrology - Documentation and procedures for use, including determination of combined standard uncertainty",(reaffirm a national adoption ANSI/CGATS/ISO 15790-2005 (R2007)),,11/09/2012,01/29/2013,Approved,jshaffer@aptech.org,161148
APTech (ASC CGATS),ANSI/CGATS/ISO 15930-4-2004 (R2021),Graphic technology — Prepress digital data exchange using PDF — Part 4: Complete exchange of CMYK and spot colour printing data using PDF 1.4 (PDF/X-1a),(reaffirm a national adoption ANSI/CGATS/ISO 15930-4-2004 (R2018)),,02/26/2021,09/27/2021,Approved,jshaffer@aptech.org,185556
APTech (ASC CGATS),ANSI/CGATS/ISO 15930-7-2010 (R2021),Graphic technology — Prepress digital data exchange using PDF Part 7: Complete exchange of printing data (PDF/X4) and partial exchange of printing data with external profile reference (PDF/X4p) using PDF 1.6,(reaffirm a national adoption ANSI/CGATS/ISO 15930-7-2010 (R2016)),,07/09/2021,09/07/2021,Approved,jshaffer@aptech.org,186784
APTech (ASC CGATS),ANSI/CGATS/ISO 15930-8-2010 (R2021),Graphic technology — Prepress digital data exchange using PDF — Part 8: Partial exchange of printing data using PDF 1.6 (PDF/X5),(reaffirm a national adoption ANSI/CGATS/ISO 15930-8-2010 (R2016)),,07/09/2021,09/07/2021,Approved,jshaffer@aptech.org,186785
